id,brand,type,subtype,color,gender,price,size
0,Jack and Jones,Shirts,T-shirt,Red,Female,199,XS
1,Jack and Jones,Shirts,T-shirt,Red,Female,199,S
2,Jack and Jones,Shirts,T-shirt,Red,Female,199,M
3,Jack and Jones,Shirts,T-shirt,Red,Female,199,L
4,Jack and Jones,Shirts,T-shirt,Red,Female,199,XL
5,Jack and Jones,Shirts,T-shirt,Red,Female,199,XXL
6,Jack and Jones,Shirts,T-shirt,Red,Female,299,XS
7,Jack and Jones,Shirts,T-shirt,Red,Female,299,S
8,Jack and Jones,Shirts,T-shirt,Red,Female,299,M
9,Jack and Jones,Shirts,T-shirt,Red,Female,299,L
10,Jack and Jones,Shirts,T-shirt,Red,Female,299,XL
11,Jack and Jones,Shirts,T-shirt,Red,Female,299,XXL
12,Jack and Jones,Shirts,T-shirt,Red,Female,499,XS
13,Jack and Jones,Shirts,T-shirt,Red,Female,499,S
14,Jack and Jones,Shirts,T-shirt,Red,Female,499,M
15,Jack and Jones,Shirts,T-shirt,Red,Female,499,L
16,Jack and Jones,Shirts,T-shirt,Red,Female,499,XL
17,Jack and Jones,Shirts,T-shirt,Red,Female,499,XXL
18,Jack and Jones,Shirts,T-shirt,Red,Female,799,XS
19,Jack and Jones,Shirts,T-shirt,Red,Female,799,S
20,Jack and Jones,Shirts,T-shirt,Red,Female,799,M
21,Jack and Jones,Shirts,T-shirt,Red,Female,799,L
22,Jack and Jones,Shirts,T-shirt,Red,Female,799,XL
23,Jack and Jones,Shirts,T-shirt,Red,Female,799,XXL
24,Jack and Jones,Shirts,T-shirt,Red,Female,999,XS
25,Jack and Jones,Shirts,T-shirt,Red,Female,999,S
26,Jack and Jones,Shirts,T-shirt,Red,Female,999,M
27,Jack and Jones,Shirts,T-shirt,Red,Female,999,L
28,Jack and Jones,Shirts,T-shirt,Red,Female,999,XL
29,Jack and Jones,Shirts,T-shirt,Red,Female,999,XXL
30,Jack and Jones,Shirts,T-shirt,Red,Female,1599,XS
31,Jack and Jones,Shirts,T-shirt,Red,Female,1599,S
32,Jack and Jones,Shirts,T-shirt,Red,Female,1599,M
33,Jack and Jones,Shirts,T-shirt,Red,Female,1599,L
34,Jack and Jones,Shirts,T-shirt,Red,Female,1599,XL
35,Jack and Jones,Shirts,T-shirt,Red,Female,1599,XXL
36,Jack and Jones,Shirts,T-shirt,Red,Male,199,XS
37,Jack and Jones,Shirts,T-shirt,Red,Male,199,S
38,Jack and Jones,Shirts,T-shirt,Red,Male,199,M
39,Jack and Jones,Shirts,T-shirt,Red,Male,199,L
40,Jack and Jones,Shirts,T-shirt,Red,Male,199,XL
41,Jack and Jones,Shirts,T-shirt,Red,Male,199,XXL
42,Jack and Jones,Shirts,T-shirt,Red,Male,299,XS
43,Jack and Jones,Shirts,T-shirt,Red,Male,299,S
44,Jack and Jones,Shirts,T-shirt,Red,Male,299,M
45,Jack and Jones,Shirts,T-shirt,Red,Male,299,L
46,Jack and Jones,Shirts,T-shirt,Red,Male,299,XL
47,Jack and Jones,Shirts,T-shirt,Red,Male,299,XXL
48,Jack and Jones,Shirts,T-shirt,Red,Male,499,XS
49,Jack and Jones,Shirts,T-shirt,Red,Male,499,S
50,Jack and Jones,Shirts,T-shirt,Red,Male,499,M
51,Jack and Jones,Shirts,T-shirt,Red,Male,499,L
52,Jack and Jones,Shirts,T-shirt,Red,Male,499,XL
53,Jack and Jones,Shirts,T-shirt,Red,Male,499,XXL
54,Jack and Jones,Shirts,T-shirt,Red,Male,799,XS
55,Jack and Jones,Shirts,T-shirt,Red,Male,799,S
56,Jack and Jones,Shirts,T-shirt,Red,Male,799,M
57,Jack and Jones,Shirts,T-shirt,Red,Male,799,L
58,Jack and Jones,Shirts,T-shirt,Red,Male,799,XL
59,Jack and Jones,Shirts,T-shirt,Red,Male,799,XXL
60,Jack and Jones,Shirts,T-shirt,Red,Male,999,XS
61,Jack and Jones,Shirts,T-shirt,Red,Male,999,S
62,Jack and Jones,Shirts,T-shirt,Red,Male,999,M
63,Jack and Jones,Shirts,T-shirt,Red,Male,999,L
64,Jack and Jones,Shirts,T-shirt,Red,Male,999,XL
65,Jack and Jones,Shirts,T-shirt,Red,Male,999,XXL
66,Jack and Jones,Shirts,T-shirt,Red,Male,1599,XS
67,Jack and Jones,Shirts,T-shirt,Red,Male,1599,S
68,Jack and Jones,Shirts,T-shirt,Red,Male,1599,M
69,Jack and Jones,Shirts,T-shirt,Red,Male,1599,L
70,Jack and Jones,Shirts,T-shirt,Red,Male,1599,XL
71,Jack and Jones,Shirts,T-shirt,Red,Male,1599,XXL
72,Jack and Jones,Shirts,T-shirt,Blue,Female,199,XS
73,Jack and Jones,Shirts,T-shirt,Blue,Female,199,S
74,Jack and Jones,Shirts,T-shirt,Blue,Female,199,M
75,Jack and Jones,Shirts,T-shirt,Blue,Female,199,L
76,Jack and Jones,Shirts,T-shirt,Blue,Female,199,XL
77,Jack and Jones,Shirts,T-shirt,Blue,Female,199,XXL
78,Jack and Jones,Shirts,T-shirt,Blue,Female,299,XS
79,Jack and Jones,Shirts,T-shirt,Blue,Female,299,S
80,Jack and Jones,Shirts,T-shirt,Blue,Female,299,M
81,Jack and Jones,Shirts,T-shirt,Blue,Female,299,L
82,Jack and Jones,Shirts,T-shirt,Blue,Female,299,XL
83,Jack and Jones,Shirts,T-shirt,Blue,Female,299,XXL
84,Jack and Jones,Shirts,T-shirt,Blue,Female,499,XS
85,Jack and Jones,Shirts,T-shirt,Blue,Female,499,S
86,Jack and Jones,Shirts,T-shirt,Blue,Female,499,M
87,Jack and Jones,Shirts,T-shirt,Blue,Female,499,L
88,Jack and Jones,Shirts,T-shirt,Blue,Female,499,XL
89,Jack and Jones,Shirts,T-shirt,Blue,Female,499,XXL
90,Jack and Jones,Shirts,T-shirt,Blue,Female,799,XS
91,Jack and Jones,Shirts,T-shirt,Blue,Female,799,S
92,Jack and Jones,Shirts,T-shirt,Blue,Female,799,M
93,Jack and Jones,Shirts,T-shirt,Blue,Female,799,L
94,Jack and Jones,Shirts,T-shirt,Blue,Female,799,XL
95,Jack and Jones,Shirts,T-shirt,Blue,Female,799,XXL
96,Jack and Jones,Shirts,T-shirt,Blue,Female,999,XS
97,Jack and Jones,Shirts,T-shirt,Blue,Female,999,S
98,Jack and Jones,Shirts,T-shirt,Blue,Female,999,M
99,Jack and Jones,Shirts,T-shirt,Blue,Female,999,L
100,Jack and Jones,Shirts,T-shirt,Blue,Female,999,XL
101,Jack and Jones,Shirts,T-shirt,Blue,Female,999,XXL
102,Jack and Jones,Shirts,T-shirt,Blue,Female,1599,XS
103,Jack and Jones,Shirts,T-shirt,Blue,Female,1599,S
104,Jack and Jones,Shirts,T-shirt,Blue,Female,1599,M
105,Jack and Jones,Shirts,T-shirt,Blue,Female,1599,L
106,Jack and Jones,Shirts,T-shirt,Blue,Female,1599,XL
107,Jack and Jones,Shirts,T-shirt,Blue,Female,1599,XXL
108,Jack and Jones,Shirts,T-shirt,Blue,Male,199,XS
109,Jack and Jones,Shirts,T-shirt,Blue,Male,199,S
110,Jack and Jones,Shirts,T-shirt,Blue,Male,199,M
111,Jack and Jones,Shirts,T-shirt,Blue,Male,199,L
112,Jack and Jones,Shirts,T-shirt,Blue,Male,199,XL
113,Jack and Jones,Shirts,T-shirt,Blue,Male,199,XXL
114,Jack and Jones,Shirts,T-shirt,Blue,Male,299,XS
115,Jack and Jones,Shirts,T-shirt,Blue,Male,299,S
116,Jack and Jones,Shirts,T-shirt,Blue,Male,299,M
117,Jack and Jones,Shirts,T-shirt,Blue,Male,299,L
118,Jack and Jones,Shirts,T-shirt,Blue,Male,299,XL
119,Jack and Jones,Shirts,T-shirt,Blue,Male,299,XXL
120,Jack and Jones,Shirts,T-shirt,Blue,Male,499,XS
121,Jack and Jones,Shirts,T-shirt,Blue,Male,499,S
122,Jack and Jones,Shirts,T-shirt,Blue,Male,499,M
123,Jack and Jones,Shirts,T-shirt,Blue,Male,499,L
124,Jack and Jones,Shirts,T-shirt,Blue,Male,499,XL
125,Jack and Jones,Shirts,T-shirt,Blue,Male,499,XXL
126,Jack and Jones,Shirts,T-shirt,Blue,Male,799,XS
127,Jack and Jones,Shirts,T-shirt,Blue,Male,799,S
128,Jack and Jones,Shirts,T-shirt,Blue,Male,799,M
129,Jack and Jones,Shirts,T-shirt,Blue,Male,799,L
130,Jack and Jones,Shirts,T-shirt,Blue,Male,799,XL
131,Jack and Jones,Shirts,T-shirt,Blue,Male,799,XXL
132,Jack and Jones,Shirts,T-shirt,Blue,Male,999,XS
133,Jack and Jones,Shirts,T-shirt,Blue,Male,999,S
134,Jack and Jones,Shirts,T-shirt,Blue,Male,999,M
135,Jack and Jones,Shirts,T-shirt,Blue,Male,999,L
136,Jack and Jones,Shirts,T-shirt,Blue,Male,999,XL
137,Jack and Jones,Shirts,T-shirt,Blue,Male,999,XXL
138,Jack and Jones,Shirts,T-shirt,Blue,Male,1599,XS
139,Jack and Jones,Shirts,T-shirt,Blue,Male,1599,S
140,Jack and Jones,Shirts,T-shirt,Blue,Male,1599,M
141,Jack and Jones,Shirts,T-shirt,Blue,Male,1599,L
142,Jack and Jones,Shirts,T-shirt,Blue,Male,1599,XL
143,Jack and Jones,Shirts,T-shirt,Blue,Male,1599,XXL
144,Jack and Jones,Shirts,T-shirt,Green,Female,199,XS
145,Jack and Jones,Shirts,T-shirt,Green,Female,199,S
146,Jack and Jones,Shirts,T-shirt,Green,Female,199,M
147,Jack and Jones,Shirts,T-shirt,Green,Female,199,L
148,Jack and Jones,Shirts,T-shirt,Green,Female,199,XL
149,Jack and Jones,Shirts,T-shirt,Green,Female,199,XXL
150,Jack and Jones,Shirts,T-shirt,Green,Female,299,XS
151,Jack and Jones,Shirts,T-shirt,Green,Female,299,S
152,Jack and Jones,Shirts,T-shirt,Green,Female,299,M
153,Jack and Jones,Shirts,T-shirt,Green,Female,299,L
154,Jack and Jones,Shirts,T-shirt,Green,Female,299,XL
155,Jack and Jones,Shirts,T-shirt,Green,Female,299,XXL
156,Jack and Jones,Shirts,T-shirt,Green,Female,499,XS
157,Jack and Jones,Shirts,T-shirt,Green,Female,499,S
158,Jack and Jones,Shirts,T-shirt,Green,Female,499,M
159,Jack and Jones,Shirts,T-shirt,Green,Female,499,L
